hasy,startD,repeatVowels,presenceij,presence_dutch_frequent,presence_english_frequent,avgwordlength,startswithAvowel,hasdutch_diphtongs,hasnonEnglish,hasenglish_stopword,hasdutch_stopword,Lang,Length
1,0,0,0,0,1,0,1,1,0,1,1,1,29
1,1,1,0,0,1,0,1,1,0,1,1,1,21
0,1,1,0,1,1,0,1,1,0,1,1,1,23
0,1,0,0,0,1,0,1,1,1,0,1,0,26
0,1,1,0,0,0,0,0,1,0,0,1,0,21
1,1,1,0,0,1,0,0,1,0,1,1,1,37
1,0,0,0,1,1,0,1,0,0,1,1,1,25
1,1,0,0,0,1,0,0,1,1,1,1,0,50
0,1,0,0,0,1,0,0,1,1,1,1,0,21
1,1,1,0,0,1,0,1,1,1,1,1,0,24
0,1,1,0,0,1,0,0,1,1,1,1,0,31
1,1,0,0,0,0,0,0,1,1,0,1,0,23
0,1,0,0,0,1,0,1,1,1,1,1,0,21
1,1,1,0,1,1,0,0,1,0,1,1,1,22
0,1,1,0,0,0,0,0,1,1,0,1,0,37
1,1,0,0,1,1,0,0,1,0,1,1,1,37
1,0,0,0,0,1,0,0,1,0,1,1,1,28
1,0,1,0,0,1,0,1,1,0,1,1,1,30
1,1,0,0,0,1,0,1,0,0,1,1,1,37
1,0,0,0,0,1,0,0,1,0,1,1,1,27
1,1,1,0,0,1,0,0,1,0,1,1,0,24
1,0,0,0,0,1,0,0,0,1,1,0,1,30
0,1,0,0,0,1,0,1,1,1,1,1,0,28
1,0,0,0,0,1,0,0,0,0,1,1,1,34
1,1,1,0,0,1,0,1,0,0,1,1,1,28
1,0,0,0,0,1,0,1,1,0,1,1,1,27
1,1,1,0,1,1,0,1,1,0,1,1,1,25
1,1,0,0,0,0,0,0,1,1,0,1,0,24
0,0,1,0,0,1,0,0,1,0,1,1,1,25
1,0,0,0,0,1,0,0,1,0,1,1,1,44
0,1,0,0,0,0,0,1,1,1,0,1,0,22
0,1,0,0,0,1,0,1,1,1,1,1,0,26
1,1,1,0,0,1,0,0,1,1,1,1,0,28
1,1,1,0,0,1,0,1,0,0,1,1,1,31
1,1,1,0,0,1,0,0,1,0,1,1,1,32
0,1,1,0,1,0,0,1,1,1,0,1,0,39
1,0,1,0,0,1,0,0,1,1,1,1,1,45
0,1,1,0,0,1,0,0,0,0,1,1,1,21
1,1,0,0,0,1,0,0,1,1,1,1,0,35
0,1,0,0,0,0,0,0,1,1,0,1,0,28
1,0,1,0,1,1,0,0,1,0,1,1,1,21
1,0,0,0,0,1,0,0,0,1,1,1,1,22
1,1,0,0,0,1,0,0,1,0,1,0,1,26
0,1,0,0,0,0,0,1,1,1,1,1,0,23
0,1,1,0,0,1,0,0,1,1,1,1,0,33
1,1,1,0,1,1,0,0,1,1,1,1,0,25
1,0,1,0,1,1,0,0,0,0,1,1,1,21
1,0,1,0,1,1,0,0,1,0,1,1,1,21
1,1,0,0,1,1,0,1,1,0,1,1,1,35
1,1,0,0,1,1,0,0,0,0,1,1,1,21
1,1,0,0,1,1,0,0,1,0,1,1,1,33
1,1,0,0,1,1,0,0,0,0,1,1,1,21
1,1,0,0,0,1,0,1,1,1,1,1,0,39
0,1,0,0,0,1,0,1,1,1,1,1,0,22
1,0,0,0,0,1,0,0,1,0,1,1,1,28
1,0,0,0,0,1,0,0,1,1,1,1,1,38
1,1,1,0,0,1,0,1,1,0,1,1,1,36
0,1,0,0,0,0,0,0,1,1,0,1,0,25
0,0,1,0,1,1,0,0,1,0,1,1,1,21
1,0,0,0,0,1,0,1,0,0,1,1,1,25
0,1,0,0,0,1,0,0,1,1,1,1,0,30
1,1,0,0,0,1,0,0,0,1,1,1,1,33
1,0,0,0,1,1,0,0,1,0,1,1,1,22
0,1,0,0,0,0,0,1,1,1,0,1,0,23
1,0,0,0,0,1,0,0,0,0,1,1,1,22
0,1,1,0,0,0,0,0,1,1,0,1,0,27
0,0,0,0,1,1,0,0,1,0,1,1,1,23
0,1,0,0,0,1,0,0,1,1,1,1,0,29
1,1,1,0,0,1,0,0,0,0,1,1,1,32
1,0,1,0,0,1,0,0,0,0,1,1,1,25
1,1,1,0,0,1,0,0,0,0,1,0,1,38
1,1,1,0,0,0,0,0,1,1,1,1,0,28
0,1,0,0,0,1,0,0,1,1,1,1,0,32
1,0,1,0,0,1,0,0,0,0,1,1,1,22
1,1,0,0,0,0,0,0,1,1,0,1,0,22
0,1,0,0,0,1,0,1,0,0,1,1,1,23
1,0,1,0,0,1,0,1,1,0,1,1,1,35
1,1,0,0,1,1,0,0,1,1,1,1,1,26
1,0,1,0,1,1,0,0,0,0,1,1,1,32
1,0,1,0,0,1,0,0,1,0,1,1,1,30
1,1,0,0,1,1,0,0,0,0,1,1,1,25
0,1,0,0,1,1,0,1,0,0,1,1,1,27
0,0,0,0,0,1,0,1,0,1,1,1,1,22
1,1,0,0,0,1,0,0,1,0,1,1,1,38
1,0,0,0,0,1,0,1,0,0,1,1,1,23
0,1,0,0,0,1,0,1,1,1,1,1,0,23
1,1,1,0,1,1,0,1,1,0,1,1,1,34
1,0,0,0,0,1,0,1,1,1,1,1,1,21
1,0,0,0,0,1,0,0,0,0,1,1,1,24
1,0,0,0,1,1,0,0,0,0,1,1,1,22
0,1,0,0,0,1,0,0,1,1,1,1,0,30
0,1,0,0,0,1,0,0,1,1,1,1,0,24
1,1,0,0,1,1,0,0,1,0,1,1,1,26
1,0,0,0,0,1,0,0,1,0,1,1,1,23
0,1,0,0,0,0,0,0,1,0,0,1,0,25
0,1,1,0,0,1,0,0,1,1,1,1,0,22
1,1,0,0,0,1,0,0,0,0,1,1,1,24
1,0,0,0,0,1,0,0,1,0,1,1,1,33
0,1,0,0,0,1,0,0,0,0,1,1,1,40
0,1,0,0,0,0,0,1,1,1,0,1,0,34
1,1,1,0,1,1,0,0,0,0,1,1,1,32
1,1,1,0,1,1,0,1,1,1,1,1,1,41
0,1,0,0,0,0,0,0,1,1,0,1,0,25
0,0,1,0,0,1,0,0,1,1,1,1,1,28
1,1,0,0,1,1,0,0,0,0,1,1,1,37
1,1,0,0,1,1,0,0,0,1,1,1,1,30
1,1,0,0,0,0,0,0,1,1,0,1,0,32
1,1,0,0,0,1,0,0,1,1,1,1,0,22
1,1,1,0,1,1,0,0,1,0,1,1,1,30
1,1,1,0,0,1,0,0,1,1,1,1,1,28
0,0,1,0,0,1,0,1,1,0,1,0,1,21
1,1,0,0,0,1,0,0,1,1,1,1,0,43
1,1,1,0,0,1,0,0,1,0,1,1,1,24
0,1,0,0,0,0,0,0,1,1,0,1,0,21
1,1,0,0,0,1,0,1,1,0,1,1,0,22
1,0,1,0,0,1,0,0,1,0,1,1,1,26
1,0,0,0,0,1,0,0,1,0,1,1,1,29
0,0,0,0,0,0,0,0,1,1,0,0,0,22
1,0,0,0,0,1,0,0,0,0,1,1,1,21
0,1,0,0,0,1,0,0,1,1,1,1,0,26
1,1,0,0,1,1,0,0,0,0,1,1,1,41
1,1,1,0,1,1,0,0,0,0,1,1,1,24
1,0,1,0,0,1,0,1,1,0,1,1,1,29
0,1,1,0,0,1,0,0,1,1,1,1,0,23
0,1,0,0,0,0,0,0,1,0,0,1,0,21
1,1,1,0,1,1,0,0,1,0,1,1,1,43
1,0,1,0,1,1,0,1,1,0,1,1,1,35
1,1,0,0,0,1,0,0,1,0,1,1,1,27
0,1,1,0,0,1,0,0,1,1,1,1,0,27
0,1,1,0,1,1,0,0,0,0,1,1,1,28
1,0,1,0,1,1,0,0,1,1,1,1,1,33
1,0,0,0,0,1,0,0,1,0,1,1,1,29
0,1,1,0,0,0,0,0,1,1,0,1,0,24
1,0,1,0,0,1,0,1,1,0,1,1,1,21
1,0,0,0,0,1,0,0,1,0,1,0,1,21
1,0,1,0,0,1,0,1,1,0,1,1,1,31
1,1,1,0,1,1,0,0,0,1,1,1,1,24
1,1,1,0,1,1,0,1,1,0,1,1,1,24
1,0,1,0,0,1,0,0,1,0,1,1,1,32
1,1,1,0,1,1,0,0,1,0,1,1,1,32
1,0,1,0,0,1,0,0,1,0,1,1,1,24
0,1,0,0,0,0,0,0,1,1,0,1,0,24
1,0,1,0,1,1,0,0,0,0,1,1,1,21
1,0,1,0,1,1,0,1,1,0,1,1,1,26
1,1,1,0,0,1,0,0,1,0,1,1,1,35
1,1,0,0,0,1,0,0,1,1,1,1,0,35
0,0,0,0,0,1,0,0,0,0,1,1,1,23
1,0,0,0,1,1,0,0,0,0,1,1,1,30
0,0,0,0,0,1,0,0,1,0,1,1,1,30
1,0,1,0,1,1,0,0,1,0,1,1,1,21
1,1,0,0,0,1,0,0,1,0,1,1,1,30
1,0,0,0,1,1,0,1,1,0,1,1,1,27
1,0,1,0,0,1,0,1,1,1,1,0,1,21
1,1,1,0,0,1,0,0,1,0,1,1,1,26
0,1,0,0,0,1,0,0,1,1,1,1,0,30
1,1,0,0,0,1,0,0,0,0,1,1,1,21
1,0,1,0,1,1,0,0,1,0,1,1,1,21
0,1,0,0,0,1,0,1,1,1,1,1,0,25
1,1,0,0,0,1,0,1,1,1,1,1,0,26
1,0,1,0,0,1,0,0,1,0,1,1,1,25
1,1,0,0,1,1,0,0,1,0,1,1,1,41
1,1,0,0,0,1,0,1,1,1,1,1,0,29
0,1,0,0,0,1,0,0,1,1,1,1,0,23
0,1,0,0,0,0,0,0,1,0,1,1,0,25
0,0,1,0,0,1,0,1,1,0,1,1,1,25
1,1,0,0,1,1,0,0,0,1,1,1,1,22
1,1,0,0,0,0,0,0,1,1,0,1,0,28
1,1,1,0,0,1,0,0,1,1,1,1,0,29
1,1,1,0,1,1,0,0,1,0,1,1,1,40
1,1,1,0,1,1,0,0,0,0,1,1,1,29
0,1,0,0,0,1,0,1,1,1,1,1,0,24
1,0,0,0,1,1,0,0,1,0,1,1,1,25
1,1,1,0,1,1,0,1,0,0,1,1,1,35
0,1,0,0,0,0,0,0,1,1,0,0,0,21
1,1,1,0,0,1,0,0,1,1,1,1,1,38
1,0,0,0,0,1,0,0,1,0,1,1,1,23
1,0,0,0,0,1,0,0,1,0,1,1,1,23
1,1,1,0,1,1,0,0,1,0,1,1,1,23
0,1,0,0,0,0,0,0,1,1,0,1,0,30
1,1,0,0,0,1,0,0,1,0,1,1,1,31
1,0,0,0,0,1,0,0,1,0,1,1,1,30
1,0,0,0,0,1,0,0,1,0,1,1,1,25
1,0,1,0,1,1,0,1,0,1,1,1,1,22
1,1,1,0,0,1,0,1,1,0,1,1,1,22
1,1,0,0,1,1,0,0,1,1,1,1,1,24
1,1,0,0,0,1,0,0,1,0,1,1,1,31
1,0,1,0,0,1,0,0,1,1,1,1,1,39
1,1,0,0,0,1,0,0,1,0,1,1,1,31
1,1,0,0,0,1,0,0,1,0,1,1,1,22
1,0,0,0,0,1,0,0,1,0,1,0,1,30
0,1,1,0,0,1,0,0,1,1,1,1,1,21
0,0,0,0,0,1,0,0,0,0,1,1,1,29
0,1,0,0,0,0,0,0,1,1,1,0,0,23
0,1,0,0,0,1,0,0,1,1,1,1,0,23
0,1,0,0,0,1,0,1,1,0,1,1,1,25
0,0,0,0,1,1,0,0,0,0,1,1,1,21
1,0,0,0,0,1,0,1,1,0,1,1,1,21
1,1,0,0,0,1,0,1,1,1,1,1,0,21
0,1,1,0,1,1,0,0,1,0,1,1,1,22
1,1,0,0,0,1,0,0,1,1,1,1,1,24
0,1,0,0,0,1,0,0,1,1,1,1,0,40
0,1,0,0,0,1,0,1,1,1,1,1,0,21
0,1,1,0,0,0,0,0,1,0,0,1,0,33
0,0,0,0,0,1,0,0,1,0,1,1,1,26
1,1,1,0,0,1,0,0,0,0,1,1,1,28
1,0,0,0,0,1,0,0,1,0,1,1,1,21
1,0,0,0,0,1,0,0,1,0,1,1,1,25
1,1,1,0,1,1,0,0,0,0,1,1,1,42
1,0,0,0,0,1,0,0,0,0,1,1,1,26
0,1,0,0,0,1,0,0,1,1,1,1,0,25
0,1,0,0,0,1,0,0,1,1,1,1,0,24
0,1,1,0,0,0,0,1,1,1,0,0,0,23
1,1,0,0,1,1,0,1,1,0,1,1,1,32
0,1,0,0,0,1,0,0,1,1,1,1,1,25
0,1,1,0,1,1,0,0,0,0,1,1,1,31
1,1,1,0,0,1,0,0,1,0,1,1,1,41
0,0,0,0,0,1,0,0,0,0,1,0,1,24
1,0,0,0,0,1,0,0,0,1,1,1,1,28
1,1,0,0,0,0,0,1,1,1,0,1,0,29
1,1,1,0,0,1,0,0,1,0,1,1,1,34
1,1,1,0,1,1,0,0,0,1,1,1,1,41
1,1,1,0,0,1,0,0,1,0,1,1,1,25
1,1,0,0,0,1,0,1,1,0,1,1,1,27
1,1,1,0,0,1,0,1,0,0,1,1,1,31
0,0,1,0,0,1,0,1,1,1,1,1,1,45
1,0,0,0,0,1,0,1,1,0,1,1,1,44
1,0,1,0,0,1,0,0,1,0,1,1,1,23
0,1,0,0,0,1,0,0,1,0,1,1,1,31
1,1,0,0,0,1,0,0,1,0,1,1,1,21
0,1,0,0,0,1,0,0,1,1,1,1,0,21
1,1,0,0,0,1,0,0,1,0,1,1,1,27
0,1,0,0,0,1,0,1,1,1,1,1,0,25
1,1,0,0,0,1,0,1,1,0,1,1,1,35
0,1,0,0,0,0,0,0,1,1,1,0,0,22
1,0,1,0,1,1,0,1,1,0,1,1,1,21
0,1,0,0,0,1,0,0,1,1,1,1,0,27
0,1,0,0,0,1,0,1,1,1,1,1,0,24
1,0,1,0,1,1,0,1,0,0,1,1,1,23
1,0,0,0,0,1,0,1,1,0,1,0,1,37
1,1,0,0,0,1,0,0,1,0,1,1,1,30
1,1,0,0,0,1,0,1,1,0,1,0,1,25
1,0,1,0,1,1,0,0,1,0,1,1,1,22
1,0,0,0,0,1,0,1,1,0,1,1,1,22
1,1,0,0,0,1,0,0,1,0,1,1,1,41
1,0,1,0,0,1,0,1,1,0,1,0,1,40
0,1,0,0,0,1,0,1,1,1,1,1,0,22
1,1,1,0,0,1,0,0,1,0,1,1,1,47
1,0,0,0,0,1,0,1,1,0,1,1,1,22
1,1,0,0,0,1,0,0,1,1,1,1,0,21
1,1,0,0,0,1,0,1,1,1,0,1,0,27
1,1,0,0,1,1,0,0,1,0,1,1,1,31
0,1,1,0,0,1,0,1,1,0,1,1,1,23
1,0,0,0,0,1,0,0,1,0,1,1,1,22
1,1,0,0,0,1,0,0,0,0,1,1,1,21
0,1,0,0,0,0,1,1,1,1,0,1,0,21
0,1,1,0,0,1,0,0,1,1,1,1,0,23
1,0,1,1,1,1,0,0,0,1,1,1,1,24
1,1,0,0,0,1,0,0,1,0,1,1,1,28
1,1,0,0,0,0,0,0,1,1,0,1,0,24
0,0,0,0,1,1,0,0,1,0,1,1,1,22
0,1,0,0,0,1,0,0,1,1,1,1,0,31
1,1,0,0,1,0,0,1,1,1,0,1,0,27
0,0,1,0,0,1,0,0,1,1,1,1,1,32
1,0,0,0,1,1,0,0,1,0,1,1,1,24
1,1,0,0,0,1,0,0,1,1,1,1,1,30
1,0,1,0,1,1,0,0,1,0,1,1,1,22
1,0,1,0,0,1,0,1,1,0,1,1,1,32
0,1,0,0,0,0,0,0,1,0,0,1,0,24
1,1,1,0,0,1,0,0,0,0,1,1,1,25
1,1,1,0,1,1,0,1,0,0,1,1,1,25
0,0,1,0,0,1,0,0,0,0,1,1,1,21
0,1,0,0,0,1,0,0,1,1,1,1,0,28
1,1,0,0,0,1,0,0,0,0,1,0,1,23
0,1,0,0,0,0,0,0,1,1,0,1,0,22
1,0,1,0,0,1,0,0,1,1,1,0,1,28
1,1,1,0,0,1,0,0,1,0,1,1,1,39
1,1,0,0,1,1,0,1,0,0,1,1,1,25
1,0,0,0,0,1,0,0,1,0,1,1,1,32
1,1,1,0,0,0,0,0,1,1,0,1,0,26
1,1,0,0,1,1,0,0,1,0,1,1,1,31
0,1,0,0,0,1,0,0,1,1,1,1,0,25
0,1,1,0,0,0,0,0,1,1,0,1,0,21
0,1,0,0,0,0,0,0,1,1,1,1,0,21
1,1,1,0,0,1,0,0,1,1,1,1,0,23
1,0,0,0,0,1,0,1,0,0,1,0,1,27
0,0,0,0,1,1,0,1,0,0,1,1,1,27
1,1,0,0,1,1,0,0,0,0,1,1,1,27
1,0,1,0,1,1,0,0,0,0,1,1,1,21
1,1,0,0,1,1,0,0,1,1,1,1,1,46
1,1,0,0,0,1,0,0,1,1,1,1,1,40
1,1,0,0,0,1,0,1,1,0,1,1,1,26
1,1,0,0,0,1,0,0,1,1,1,1,0,30
1,1,0,0,0,1,0,0,0,0,1,0,1,29
0,1,0,0,0,1,0,0,1,0,1,1,0,25
0,1,0,0,0,0,0,0,1,0,0,1,0,21
1,1,0,0,0,1,0,1,0,0,1,1,1,21
1,1,0,0,0,1,0,1,0,0,1,1,1,24
1,1,0,0,1,1,0,0,1,1,1,1,1,48
1,1,0,0,0,1,0,0,1,1,1,1,0,30
0,0,0,0,1,1,0,0,1,0,1,1,1,30
1,1,0,0,0,1,0,0,1,0,1,1,1,25
0,1,1,0,0,1,0,0,1,0,1,1,1,32
1,1,1,0,0,1,0,1,0,1,1,1,1,28
1,1,1,0,0,1,0,1,1,1,1,1,1,31
1,1,0,0,0,1,0,0,1,0,1,0,1,49
1,1,0,0,0,1,0,0,1,0,1,1,1,43
1,1,0,0,0,1,0,0,1,0,1,1,1,25
0,0,0,0,0,1,0,0,1,0,1,1,1,43
1,1,1,0,1,1,0,0,1,0,1,1,1,26
1,0,1,0,0,1,0,0,1,1,1,1,1,22
0,1,0,0,0,1,0,0,0,1,1,1,1,22
1,1,1,0,0,1,0,0,0,1,1,1,1,39
1,1,0,0,0,1,0,1,0,0,1,1,1,21
1,1,0,0,0,1,0,0,1,0,1,1,1,23
1,1,0,0,0,0,0,0,1,1,1,1,0,25
1,0,0,0,0,1,0,0,1,0,1,1,1,31
0,1,0,0,0,1,0,0,1,1,1,1,0,24
1,1,0,0,0,1,0,0,1,0,1,1,1,31
1,0,0,0,0,1,0,0,0,1,1,0,1,24
1,1,0,0,0,1,0,1,0,0,1,0,1,27
1,1,1,1,0,1,0,0,1,1,1,1,1,31
1,1,1,0,0,1,0,1,1,0,1,1,1,23
0,1,1,0,0,0,0,0,1,1,0,1,0,29
1,0,1,0,0,1,0,1,1,0,1,1,1,22
1,1,0,0,0,1,0,0,0,0,1,1,1,23
1,1,1,0,0,1,0,0,1,0,1,1,1,27
1,1,0,0,0,1,0,1,0,0,1,1,1,38
1,1,0,0,1,1,0,0,1,1,1,1,0,26
0,0,1,0,1,1,0,0,0,0,1,1,1,22
0,1,0,0,0,1,0,0,1,1,1,1,0,26
1,1,0,0,0,1,0,0,0,1,1,1,1,21
1,1,0,0,1,1,0,0,1,0,1,1,1,33
0,1,0,0,0,0,0,0,1,1,1,1,0,29
1,0,1,0,0,1,0,1,1,0,1,1,1,39
1,1,0,1,0,1,0,0,1,0,1,1,1,23
1,0,0,0,0,1,0,0,1,0,1,1,1,24
1,0,0,0,1,1,0,0,1,0,1,1,1,29
0,1,0,0,0,0,0,1,1,1,0,1,0,25
0,0,1,0,0,1,0,0,1,0,1,0,1,28
1,1,1,0,0,1,0,1,1,0,1,1,1,35
1,0,0,0,1,1,0,0,0,0,1,1,1,27
1,1,1,0,0,1,0,0,0,0,1,1,1,26
1,0,1,0,1,1,0,0,0,0,1,1,1,24
0,1,0,0,0,1,0,0,1,1,1,1,0,27
1,1,1,0,0,1,0,1,1,0,1,1,1,39
0,1,1,0,0,1,0,0,1,1,1,1,0,34
1,1,1,0,0,1,0,1,1,0,1,1,1,39
0,1,1,0,0,0,0,0,1,1,0,0,0,21
0,1,0,0,0,0,0,1,1,1,0,1,0,27
1,1,1,0,0,0,0,0,1,1,0,1,0,45
1,0,0,0,0,1,0,0,1,0,1,1,1,27
1,1,0,0,0,1,0,0,1,0,1,1,1,27
0,1,0,0,0,1,0,0,1,0,1,1,1,24
0,1,0,0,0,0,0,0,1,1,0,1,0,26
0,0,1,0,0,1,0,0,1,0,1,1,1,21
0,1,0,0,0,1,0,0,1,1,1,1,0,26
0,1,0,0,0,1,0,0,1,1,1,1,0,21
1,0,0,0,0,1,0,0,1,0,1,1,1,31
1,0,0,0,1,1,0,0,0,1,1,1,1,25
0,0,1,0,1,1,0,0,1,0,1,1,1,40
0,1,1,0,0,1,0,0,1,1,1,1,0,24
1,1,0,0,0,1,0,0,1,1,1,1,1,33
1,1,1,1,1,1,0,0,1,1,1,1,1,22
1,1,1,0,0,1,0,0,1,0,1,1,1,33
0,1,0,0,0,1,0,0,1,0,1,1,0,23
1,0,0,0,0,1,0,0,1,0,1,1,1,22
1,1,0,0,0,1,0,0,1,0,1,1,1,22
1,0,1,0,1,1,0,0,1,0,1,1,1,35
1,1,0,0,0,1,0,0,1,1,1,1,1,24
1,0,1,0,0,1,0,0,1,0,1,1,1,29
0,1,0,0,0,1,0,0,1,1,1,1,0,25
1,1,0,0,0,1,0,0,0,0,1,1,1,22
1,1,1,0,0,1,0,0,1,0,1,1,1,33
1,1,0,0,0,1,0,0,1,0,1,1,1,37
1,1,1,0,0,1,0,0,0,0,1,1,1,37
1,0,0,0,0,1,0,0,0,0,1,1,1,23
1,0,0,0,0,1,0,0,1,0,1,1,1,27
1,1,1,0,1,1,0,1,1,0,1,1,1,36
0,1,1,0,0,1,0,0,1,1,1,1,1,22
0,1,0,0,0,0,0,0,1,1,0,1,0,23
1,1,1,0,0,1,0,1,1,0,1,1,1,37
1,0,1,0,0,1,0,0,0,0,1,1,1,23
1,1,1,0,0,1,0,0,0,0,1,1,1,23
1,0,0,0,0,1,0,1,1,0,1,1,1,33
0,1,0,0,0,0,0,0,1,1,0,1,0,22
0,1,0,0,0,1,0,0,0,0,1,0,1,28
0,1,0,0,0,1,0,0,1,1,1,1,0,43
1,0,0,0,0,1,0,0,1,0,1,1,1,22
0,1,0,0,0,0,0,0,1,1,0,1,0,25
1,1,0,0,0,1,0,0,1,0,1,1,1,29
0,1,1,0,0,1,0,0,1,1,1,1,0,25
1,0,1,0,1,1,0,0,0,0,1,1,1,32
1,0,1,0,1,1,0,0,1,0,1,1,1,35
1,0,1,0,0,1,0,1,1,0,1,1,1,27
1,1,1,0,0,1,0,0,1,0,1,1,1,35
1,1,0,0,0,1,0,1,1,0,1,1,1,29
1,0,1,0,0,1,0,0,1,1,1,1,1,27
1,1,0,0,0,1,0,0,1,1,1,1,1,29
1,0,1,0,1,1,0,0,1,0,1,1,1,27
1,0,0,0,0,1,0,1,1,0,1,1,1,32
1,1,0,0,0,1,0,0,1,1,1,1,0,21
1,1,0,0,1,1,0,1,0,0,1,1,1,31
1,1,1,1,1,1,0,0,1,0,1,1,1,26
1,0,1,0,1,1,0,0,1,0,1,1,1,21
0,1,0,0,0,0,0,0,1,1,0,0,0,35
1,0,1,0,0,1,0,1,1,0,1,1,1,30
0,1,0,0,0,1,0,0,1,1,1,1,0,34
